,title,link_to_recipe,link_to_image
24,"Nostalgiškos varškės spurgos
6 asm.",https://www.15min.lt/maistas/receptas/nostalgiskos-varskes-spurgos-8708,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjYyMDM2JmRhdGU9MjAyMCUyRjAyJTJGMjksMTg2Mjc3NDUzMA==/varskes-spurgos-5e5a833f15894.jpg
25,"Veganiški vafliai su cukinijomis
3 asm.",https://www.15min.lt/maistas/receptas/veganiski-vafliai-su-cukinijomis-8706,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjYzNDQyJmRhdGU9MjAyMCUyRjAzJTJGMDIsNDE1OTA2MDQ1MA==/nesaldus-keksiukai-su-pievagrybiais-ir-sauleje-dziovintais-pomidorais-5e5cc4e582854.jpg
26,"Makaronai su kreminiu moliūgų padažu
4 asm.",https://www.15min.lt/maistas/receptas/makaronai-su-kreminiu-moliugu-padazu-8704,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjYzNDU0JmRhdGU9MjAyMCUyRjAzJTJGMDIsMzg1MDQ2NzU2/makaronai-su-kreminiu-moliugu-padazu-5e5cc7d4d95a3.jpg
27,"Lengva perlinių kruopų ir brokolių mišrainė
3 asm.",https://www.15min.lt/maistas/receptas/lengva-perliniu-kruopu-ir-brokoliu-misraine-8702,https://s1.15min.lt/static/cache/MjIweDIwMCwxMjU5eDM4MSw2MTYxNjMsb3JpZ2luYWwsLGlkPTUyNjM5MzAmZGF0ZT0yMDIwJTJGMDMlMkYwMiwyMjA5NjgxODA2/misraine-su-brokoliais-5e5cea4e01c32.jpg
28,"Veganiški pyragėliai su obuolių ir aguonų įdaru
4 asm.",https://www.15min.lt/maistas/receptas/veganiski-pyrageliai-su-obuoliu-ir-aguonu-idaru-8700,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjY1MDM2JmRhdGU9MjAyMCUyRjAzJTJGMDMsMTIwMTcxNzMyNA==/veganiski-pyrageliai-su-obuoliu-ir-aguonu-idaru-5e5e1211984d6.jpg
29,"Su česnakiniu sviestu keptos austrės
2 asm.",https://www.15min.lt/maistas/receptas/su-cesnakiniu-sviestu-keptos-austres-8698,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjMxODk2JmRhdGU9MjAyMCUyRjAyJTJGMTMsODk3NDM2MzI0/su-cesnakiniu-sviestu-keptos-austres-5e451435d4bcf.jpg
30,"Su sūriu ir šonine apkeptos česnakinės bulvytės
4 asm.",https://www.15min.lt/maistas/receptas/su-suriu-ir-sonine-apkeptos-cesnakines-bulvytes-8696,https://s1.15min.lt/static/cache/MjIweDIwMCwzNTl4NDQyLDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTI2NTQ0NiZkYXRlPTIwMjAlMkYwMyUyRjAzLDEzOTM4NjY5OTI=/su-suriu-ir-sonine-apkeptos-cesnakines-bulvytes-5e5e3c1cbb63c.jpg
31,"Su pomidoriukais ir česnakais orkaitėje kepti ryžiai
4 asm.",https://www.15min.lt/maistas/receptas/su-pomidoriukais-ir-cesnakais-orkaiteje-kepti-ryziai-8694,https://s1.15min.lt/static/cache/MjIweDIwMCwxMDIweDY4MCw2MTYxNjMsb3JpZ2luYWwsLGlkPTUyMjczNTgmZGF0ZT0yMDIwJTJGMDIlMkYxMSwxMTY3MzA2NzMw/ryziai-su-pomidorais-ir-cesnakais-5e4267fb780f8.jpg
32,"Lengvas ir skanus jautienos ir saldžiųjų bulvių troškinys
6 asm.",https://www.15min.lt/maistas/receptas/lengvas-ir-skanus-jautienos-ir-saldziuju-bulviu-troskinys-8692,https://s1.15min.lt/static/cache/MjIweDIwMCw2NzJ4NTk4LDYxNjE2MyxvcmlnaW5hbCwsaWQ9NTI2NTcxNCZkYXRlPTIwMjAlMkYwMyUyRjAzLDEyOTg0MjcxNTk=/jautienos-troskinys-su-darzovemis-5e5e570eb850a.jpg
33,"Saldžiųjų bulvių apkepas su šalavijais
4 asm.",https://www.15min.lt/maistas/receptas/saldziuju-bulviu-apkepas-su-salavijais-8690,https://s1.15min.lt/static/cache/MjIweDIwMCwsNjE2MTYzLG9yaWdpbmFsLCxpZD01MjIxMDMyJmRhdGU9MjAyMCUyRjAyJTJGMDcsMTk4Mzc5NTAz/saldziuju-bulviu-apkepas-5e3d384073304.jpg
