,title,link_to_equipment,link_to_image,price_equipment
48,"Monitorius LG 43UN700-B 4K UHD, 3840 x 2160, IPS, 16:9, 8 ms, 400 cd/m², 60 Hz, HDMI",https://www.varle.lt/monitoriai/monitorius-lg-43un700-b-4k-uhd-3840-x-2160-ips--14225293.html,https://www.varle.lt/static/uploads/products/235x195/622/mon/monitorius-lg-43un700-b.jpg,"

490.05
 €
"
49,Stacionarus kompiuteris Actina/ASUS PRIME B560M-A / NVIDIA GeForce RTX 3050 / ADATA XPG Spectrix D60 / WD BLUE WDS100T3B0C / SilentiumPC FERA 5 / CHIEFTEC GPS-600A8 / ASUS TUF GAMING GT301,https://www.varle.lt/stacionarus-kompiuteriai/stacionarus-kompiuteris-pc-actina-pba-i5-11400f161tbrtx3050--19050901.html,https://www.varle.lt/static/uploads/products/235x195/605/sta/stacionarus-kompiuteris-pc-actina-pba-i5-11400f-16-1tb-rtx3050-.jpg,"

1151.99
 €
"
50,"Naujiena! Žaidimų kėdė Sense7 Spellcaster Senshi Edition Gaming Chair, Balta",https://www.varle.lt/zaidimu-gaming-kedes/naujiena-zaidimu-kede-sense7-spellcaster-senshi-edition--21159281.html,https://www.varle.lt/static/uploads/products/235x195/622/fot/fotel-sense7-spellcaster-senshi-edition.jpg,"

155.99
 €
"
51,"Žaidimų kompiuteris Lenovo Legion 5 15.6"" FullHD IPS 165Hz G-SYNC / AMD Ryzen 7 5800H iki 4.4Ghz / 512Gb SSD PCIe / 16Gb RAM DDR4 / GeForce RTX3070 8Gb / WiFi AX / USB C / šviečianti klaviatūra / Windows 10",https://www.varle.lt/nesiojami-kompiuteriai/nesiojami-kompiuteriai/nesiojamas-kompiuteris-lenovo-legion-5-15ach6h-r7--21137435.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kompiuteris-lenovo-legion-5-156_xJWnnOP.png,"

1499 €
"
52,"Razer Ausinės su laidu Žaidimams su USB Audio Controller, Analog 3.5 mm, Kraken Tournament Edition, USB, Žalias, Su mikrofonu",https://www.varle.lt/ausines/razer-ausines-su-laidu-zaidimams-with-usb-audio-controller--17441832.html,https://www.varle.lt/static/uploads/products/235x195/542/raz/razer-headset-kraken-tournament-zalias.jpg,"

74.99
 €
"
53,"Naujiena! Žaidimų kėdė Sense7 Spellcaster Senshi Edition fabric Gaming Chair, Pilka",https://www.varle.lt/zaidimu-gaming-kedes/naujiena-zaidimu-kede-sense7-spellcaster-senshi-edition--21159279.html,https://www.varle.lt/static/uploads/products/235x195/622/fot/fotel-sense7-spellcaster-materiaowy-senshi.jpg,"

155.99
 €
"
54,"Žaidimų kėdė ByteZone Racer PRO Gaming Chair, Mėlyna",https://www.varle.lt/zaidimu-gaming-kedes/zaidimu-kede-bytezone-racer-pro-gaming-chair-melyna--17753134.html,https://www.varle.lt/static/uploads/products/235x195/605/zai/zaidimu-kede-bytezone-racer-pro-gaming-chair.jpg,"

138.89
 €
"
55,"HyperX Pulsefire Mat - Žaidimų pelės kilimėlis, L dydžio, 450mm x 400mm",https://www.varle.lt/peliu-kilimeliai/peles-kilimelis-hyperx-pulsefirel-hyperx--20730271.html,https://www.varle.lt/static/uploads/products/235x195/605/hyp/hyperx-pulsefire-mat-zaidimu-peles-kilimelis.png,"

15.99
 €
"
56,Nešiojamas kompiuteris Apple MacBook Air M2 8C/8/512/US Z1610006V Midnight,https://www.varle.lt/nesiojami-kompiuteriai/nesiojami-kompiuteriai/nesiojamas-kompiuteris-apple-macbook-air-m2-8c8512us--20782851.html,https://www.varle.lt/static/uploads/products/235x195/605/nes/nesiojamas-kompiuteris-apple-macbook-air.jpg,"

1729 €
"
57,"Esports THX Spatial Audio Žaidimų Ausinės Razer BlackShark V2 + USB garso plokštė, Juodos",https://www.varle.lt/ausines/esports-thx-spatial-audio-zaidimu-ausines-razer-balckshark--14571400.html,https://www.varle.lt/static/uploads/products/235x195/292/raz/razer-blackshark-v2-headset-head-band.jpeg,"

82.39
 €
"
